size,q_shared_skills,hamming_avg,workcount_range,skill_q_range,skill_variation,control
2,1,0.0,0,2,0.8333333333333334,True
2,0,0.0,0,3,1.0,True
6,0,10.4,13,4,0.5238095238095238,True
5,0,12.0,13,3,0.7333333333333333,True
2,1,2.0,0,2,0.8333333333333334,True
5,0,8.0,7,4,0.6153846153846154,True
6,0,13.066666666666666,13,4,0.6666666666666666,True
4,0,18.833333333333332,13,4,0.7857142857142857,True
6,0,7.6,7,4,0.4090909090909091,True
4,0,10.166666666666666,13,2,0.75,True
2,1,17.0,13,1,0.8,True
6,0,14.8,13,4,0.6,True
5,0,13.2,13,4,0.75,True
5,0,11.0,13,3,0.6470588235294118,True
5,0,15.2,13,4,0.6875,True
5,0,11.2,13,2,0.6666666666666666,True
4,0,8.833333333333334,13,4,0.5833333333333334,True
5,0,14.8,13,4,0.625,True
5,0,13.2,13,2,0.6363636363636364,True
3,0,14.0,13,3,0.7272727272727273,True
5,0,3.0,0,4,0.6153846153846154,True
6,0,14.333333333333334,13,4,0.55,True
4,0,17.5,13,2,0.75,True
6,0,9.733333333333333,13,4,0.6,True
5,0,5.6,7,3,0.7692307692307693,True
5,0,18.2,13,4,0.75,True
6,0,7.6,7,3,0.6190476190476191,True
5,0,12.0,13,4,0.7333333333333333,True
4,0,18.166666666666668,13,2,0.8,True
6,0,8.8,13,4,0.5263157894736842,True
2,0,15.0,13,3,1.0,True
6,0,13.0,13,4,0.6111111111111112,True
4,0,21.0,6,4,0.8,True
6,0,14.733333333333333,13,4,0.75,True
4,0,7.333333333333333,0,4,0.625,True
2,1,15.0,13,1,0.8,True
5,0,11.6,13,4,0.6923076923076923,True
2,1,2.0,0,0,0.875,True
6,0,11.533333333333333,13,3,0.6086956521739131,True
3,0,14.666666666666666,13,4,1.0,True
5,0,10.8,13,3,0.7058823529411765,True
6,0,11.733333333333333,13,3,0.4782608695652174,True
6,0,12.866666666666667,13,4,0.5,True
3,0,6.0,7,4,0.9,True
6,0,8.066666666666666,13,4,0.47058823529411764,True
2,1,4.0,0,1,0.8571428571428571,True
6,0,11.666666666666666,13,3,0.8461538461538461,True
4,0,14.5,13,3,0.7272727272727273,True
4,0,11.666666666666666,13,3,0.6923076923076923,True
6,0,14.466666666666667,13,3,0.6666666666666666,True
6,0,9.466666666666667,13,3,0.5333333333333333,True
2,2,4.0,0,1,0.6,True
2,1,2.0,0,0,0.5,True
4,0,2.6666666666666665,0,1,0.6666666666666666,True
2,1,15.0,13,1,0.8888888888888888,True
4,0,18.833333333333332,13,3,0.6363636363636364,True
2,2,13.0,7,0,0.8,True
5,0,7.6,13,2,0.5714285714285714,True
2,1,0.0,0,2,0.75,True
6,0,6.866666666666666,7,4,0.5,True
6,0,12.733333333333333,13,3,0.5789473684210527,True
5,0,9.4,7,3,0.7272727272727273,True
5,0,12.0,13,2,0.6428571428571429,True
2,1,4.0,0,4,0.8333333333333334,True
6,0,13.733333333333333,13,4,0.7,True
3,0,11.333333333333334,13,0,0.6666666666666666,True
4,0,6.833333333333333,7,3,0.7692307692307693,True
5,0,7.2,0,3,0.75,True
4,0,6.833333333333333,7,2,0.75,True
2,0,4.0,0,1,1.0,True
4,0,13.0,13,4,0.5714285714285714,True
4,0,12.0,13,4,1.0,True
5,0,10.8,13,4,0.6153846153846154,True
5,0,2.4,0,3,0.6923076923076923,True
6,0,10.4,13,3,0.7222222222222222,True
5,0,6.8,13,3,0.7777777777777778,True
5,0,16.2,13,3,0.8571428571428571,True
5,0,8.4,7,4,0.6470588235294118,True
5,0,12.8,13,2,0.5833333333333334,True
2,0,14.0,0,1,1.0,True
2,0,20.0,6,2,1.0,True
5,0,16.0,13,3,0.7,True
5,0,14.0,13,4,0.7272727272727273,True
6,0,12.333333333333334,13,4,0.6,True
4,0,7.166666666666667,7,3,0.75,True
2,0,2.0,0,2,1.0,True
4,0,13.666666666666666,13,3,0.7272727272727273,True
6,0,16.666666666666668,13,1,0.9,True
5,0,13.6,13,2,0.6363636363636364,True
4,0,8.5,7,4,0.7777777777777778,True
6,0,7.0,13,2,0.5789473684210527,True
5,0,6.4,13,3,0.6923076923076923,True
2,0,14.0,0,0,1.0,True
2,0,17.0,13,1,1.0,True
2,0,0.0,0,2,1.0,True
5,0,10.0,13,3,0.75,True
6,0,16.933333333333334,13,4,0.7333333333333333,True
2,1,14.0,0,0,0.875,True
6,0,10.6,13,3,0.6111111111111112,True
2,0,17.0,13,2,1.0,True
2,1,21.0,13,3,0.8,True
5,0,8.0,13,4,0.625,True
